CustomerKey,Full Name,Gender,DateFirstPurchase,Customer City
11400,Franklin Raji,Male,15-07-2018,London
11408,Darren Gill,Male,05-03-2020,London
11475,Cesar Subram,Male,23-04-2020,London
11488,Jermaine Lopez,Male,28-10-2018,London
11491,Andre Perez,Male,07-11-2018,London
11563,Cesar Srini,Male,05-07-2020,London
11603,Geoffrey Gonzalez,Male,18-01-2019,London
12210,Alan He,Male,15-03-2019,London
12233,Jerry Yuan,Male,17-01-2021,London
12239,Alberto Ramos,Male,23-03-2019,London
12271,Tyrone Hernandez,Male,11-04-2019,London
12294,Shane Kovar,Male,22-05-2020,London
12304,Alejandro Zhou,Male,02-09-2020,London
12311,Stanley Weber,Male,17-09-2020,London
12316,Alejandro Luo,Male,30-05-2019,London
12328,Eugene Zhao,Male,04-06-2019,London
12334,Roy Jimenez,Male,13-06-2020,London
12381,Johnny Lal,Male,19-06-2019,London
12402,Albert Moreno,Male,08-06-2019,London
12551,Julio Ramos,Male,09-08-2020,London
12559,Emmanuel Lopez,Male,23-07-2019,London
12564,Marshall Yang,Male,07-03-2020,London
12566,Omar Yang,Male,31-05-2020,London
12595,Mathew Blanco,Male,08-03-2020,London
12602,Francisco Srini,Male,20-02-2020,London
12622,Micheal Rubio,Male,19-08-2019,London
12634,Derrick Ruiz,Male,29-08-2019,London
12637,Leonard Nath,Male,08-09-2019,London
13404,Kelvin Yang,Male,16-12-2019,London
13516,Harold Ray,Male,22-07-2020,London
13517,Nicolas Sharma,Male,22-12-2019,London
13539,Roger Guo,Male,05-08-2020,London
13561,Gary Navarro,Male,29-11-2019,London
13604,Nuan Zheng,Male,10-10-2020,London
13609,Ramon Yang,Male,07-08-2020,London
13675,Stanley Sai,Male,16-06-2020,London
13693,Dominic Gonzalez,Male,18-02-2018,London
13765,Jaime Shen,Male,02-03-2018,London
13777,Manuel Perez,Male,26-03-2018,London
13785,Clayton She,Male,29-04-2020,London
13820,Danny Alvarez,Male,28-03-2018,London
14156,Preston Gonzalez,Male,10-02-2020,London
14157,Willie Xu,Male,10-04-2018,London
